District,State,Growth,Sex_Ratio,Literacy
West Khasi Hills,Meghalaya,0.2953,980,77.87
Bilaspur,Himachal Pradesh,0.1205,981,84.59
Dimapur,Nagaland,1.2729,919,84.79
Dhalai,Tripura,0.2285,944,85.72
Dadra and Nagar Haveli,Dadra and Nagar Haveli,0.5588,774,76.24
Uttarkashi,Uttarakhand,0.1189,958,75.81
Samba,Jammu and Kashmir,0.1701,886,81.41
East Garo Hills,Meghalaya,0.2687,972,73.95
Reasi,Jammu and Kashmir,0.2704,890,58.15
Debagarh,Orissa,0.1401,975,72.57
Ganderbal,Jammu and Kashmir,0.365,874,58.04
Ramban,Jammu and Kashmir,0.3199,902,54.27
East Sikkim,Sikkim,0.1573,873,83.85
Churachandpur,Manipur,0.2029,975,82.78
Kohima,Nagaland,1.3181,928,85.23
Shupiyan,Jammu and Kashmir,0.2597,951,60.76
Bageshwar,Uttarakhand,0.0418,1090,80.01
Champawat,Uttarakhand,0.1563,980,79.83
Ri Bhoi,Meghalaya,0.3426,953,75.67
Bijapur,Chhattisgarh,0.0878,984,40.86
Mon,Nagaland,0.8036,899,56.99
Rudraprayag,Uttarakhand,0.0653,1114,81.3
South Andaman,Andaman And Nicobar Islands,0.1423,871,89.13
Bishnupur,Manipur,0.1393,999,75.85
Kishtwar,Jammu and Kashmir,0.2088,920,56.2
The Dangs,Gujarat,0.2226,1006,75.16
Dima Hasao,Assam,0.1384,932,77.54
Karaikal,Puducherry,0.1723,1047,87.05
Tuensang,Nagaland,0.9483,929,73.08
Mokokchung,Nagaland,0.6094,925,91.62
Daman,Daman and Diu,0.6771,534,88.07
Ukhrul,Manipur,0.307,943,81.35
Papumpare,Arunachal Pradesh,0.4473,980,79.95
Wokha,Nagaland,0.9881,968,87.69
Phek,Nagaland,1.1184,951,78.05
Lunglei,Mizoram,0.1764,947,88.86
Changlang,Arunachal Pradesh,0.1818,926,59.8
South Sikkim,Sikkim,0.1165,915,81.42
Lohit,Arunachal Pradesh,0.1659,912,68.18
Chandel,Manipur,0.2185,933,71.11
South Garo Hills,Meghalaya,0.4095,945,71.72
New Delhi,Delhi,-0.2072,822,88.34
Kargil,Jammu and Kashmir,0.1802,810,71.34
Zunheboto,Nagaland,0.7805,976,85.26
Tamenglong,Manipur,0.2615,943,70.05
Narayanpur,Chhattisgarh,0.1916,994,48.62
West Sikkim,Sikkim,0.1069,942,77.39
Leh,Jammu and Kashmir,0.1387,690,77.2
Champhai,Mizoram,0.1601,984,95.91
Lawngtlai,Mizoram,0.6014,945,65.88
West Siang,Arunachal Pradesh,0.0804,930,66.46
Tirap,Arunachal Pradesh,0.1161,944,52.19
North And Middle Andaman,Andaman And Nicobar Islands,-0.0002,925,83.91
East Siang,Arunachal Pradesh,0.1352,980,72.54
Peren,Nagaland,1.0415,915,77.95
Kurung Kumey,Arunachal Pradesh,1.1656,1032,48.75
Mamit,Mizoram,0.3756,927,84.93
Kinnaur,Himachal Pradesh,0.0739,819,80
Kolasib,Mizoram,0.2728,956,93.5
West Kameng,Arunachal Pradesh,0.1253,819,67.07
Upper Subansiri,Arunachal Pradesh,0.5078,998,63.8
Lower Subansiri,Arunachal Pradesh,0.49,984,74.35
East Kameng,Arunachal Pradesh,0.3762,1029,60.02
Kiphire,Nagaland,0.3858,956,69.54
Serchhip,Mizoram,0.2056,977,97.91
Lakshadweep,Lakshadweep,0.063,946,91.85
Saiha,Mizoram,-0.0734,979,90.01
Yanam,Puducherry,0.7719,1038,79.47
Lower Dibang Valley,Arunachal Pradesh,0.072,928,69.13
Diu,Daman and Diu,0.1777,1031,83.46
Longleng,Nagaland,-0.2157,905,72.17
Tawang,Arunachal Pradesh,0.284,714,59
North Sikkim,Sikkim,0.0653,767,78.01
Mahe,Puducherry,0.1354,1184,97.87
Nicobars,Andaman And Nicobar Islands,-0.1242,777,78.06
Upper Siang,Arunachal Pradesh,0.0587,889,59.99
Lahul and Spiti,Himachal Pradesh,-0.05,903,76.81
Anjaw,Arunachal Pradesh,0.1419,839,56.46
Dibang Valley,Arunachal Pradesh,0.1007,813,64.1
